type_variant,type,entries,geoRegion,datum,date_unit,version
,COVID19CT_Qua,146,FR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,145,GE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,138,GR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,115,JU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,185,LU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,52,NE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,38,OW,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,211,SG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,25,SH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,131,SO,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,104,SZ,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,201,TG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,81,TI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,14,UR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,415,VD,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,165,VS,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,29,ZG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,899,ZH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,72,AG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,1,AI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,7,AR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,259,BE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,128,BL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,9,FL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,146,FR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,511,GE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,79,GR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,0,JU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,118,LU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,63,NE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,15,OW,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,0,SG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,21,SH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,0,SO,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,80,SZ,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,73,TG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,91,TI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,14,UR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,586,VD,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,196,VS,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,115,ZG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,0,ZH,2021-06-22,day,2021-06-22_07-45-11
