date,geoRegion,altersklasse_covid19,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202103,AG,20 - 29,124,altersklasse_covid19,81244,375,0.15,0.46,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.021,2.1
202104,AG,20 - 29,171,altersklasse_covid19,81244,546,0.21,0.67,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.031,3.1
202105,AG,20 - 29,203,altersklasse_covid19,81244,749,0.25,0.92,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.034,3.4000000000000004
202106,AG,20 - 29,342,altersklasse_covid19,81244,1091,0.42,1.34,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.065,6.5
202107,AG,20 - 29,326,altersklasse_covid19,81244,1417,0.4,1.74,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.055,5.5
202108,AG,20 - 29,197,altersklasse_covid19,81244,1614,0.24,1.99,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.023,2.3
202109,AG,20 - 29,168,altersklasse_covid19,81244,1782,0.21,2.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.022,2.1999999999999997
202110,AG,20 - 29,243,altersklasse_covid19,81244,2025,0.3,2.49,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.029,2.9000000000000004
202111,AG,20 - 29,105,altersklasse_covid19,81244,2130,0.13,2.62,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.021,2.1
202112,AG,20 - 29,138,altersklasse_covid19,81244,2268,0.17,2.79,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.018,1.7999999999999998
202113,AG,20 - 29,132,altersklasse_covid19,81244,2400,0.16,2.95,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.014,1.4000000000000001
202114,AG,20 - 29,199,altersklasse_covid19,81244,2599,0.24,3.2,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.016,1.6
202115,AG,20 - 29,844,altersklasse_covid19,81244,3443,1.04,4.24,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.045,4.5
202116,AG,20 - 29,1209,altersklasse_covid19,81244,4652,1.49,5.73,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.055,5.5
202117,AG,20 - 29,1603,altersklasse_covid19,81244,6255,1.97,7.7,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.104,10.4
202118,AG,20 - 29,2394,altersklasse_covid19,81244,8649,2.95,10.65,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.105,10.5
202119,AG,20 - 29,2005,altersklasse_covid19,81244,10654,2.47,13.11,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.109,10.9
202120,AG,20 - 29,1678,altersklasse_covid19,81244,12332,2.07,15.18,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.098,9.8
202121,AG,20 - 29,2576,altersklasse_covid19,81244,14908,3.17,18.35,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.108,10.8
202122,AG,20 - 29,3218,altersklasse_covid19,81244,18126,3.96,22.31,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.126,12.6
202123,AG,20 - 29,4555,altersklasse_covid19,81244,22681,5.61,27.92,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.149,14.899999999999999
202124,AG,20 - 29,4770,altersklasse_covid19,81244,27451,5.87,33.79,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.188,18.8
202125,AG,20 - 29,2730,altersklasse_covid19,81244,30181,3.36,37.15,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.206,20.599999999999998
202052,AG,30 - 39,0,altersklasse_covid19,97368,0,0,0,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,NA,NA
202053,AG,30 - 39,57,altersklasse_covid19,97368,57,0.06,0.06,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.249,24.9
202101,AG,30 - 39,112,altersklasse_covid19,97368,169,0.12,0.17,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.045,4.5
202102,AG,30 - 39,155,altersklasse_covid19,97368,324,0.16,0.33,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.045,4.5
202103,AG,30 - 39,147,altersklasse_covid19,97368,471,0.15,0.48,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.025,2.5
202104,AG,30 - 39,218,altersklasse_covid19,97368,689,0.22,0.71,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.039,3.9
202105,AG,30 - 39,298,altersklasse_covid19,97368,987,0.31,1.01,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.049,4.9
202106,AG,30 - 39,453,altersklasse_covid19,97368,1440,0.47,1.48,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.086,8.6
202107,AG,30 - 39,511,altersklasse_covid19,97368,1951,0.52,2,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.087,8.7
202108,AG,30 - 39,298,altersklasse_covid19,97368,2249,0.31,2.31,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.035,3.5000000000000004
202109,AG,30 - 39,245,altersklasse_covid19,97368,2494,0.25,2.56,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.031,3.1
202110,AG,30 - 39,312,altersklasse_covid19,97368,2806,0.32,2.88,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.037,3.6999999999999997
202111,AG,30 - 39,205,altersklasse_covid19,97368,3011,0.21,3.09,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.041,4.1000000000000005
202112,AG,30 - 39,241,altersklasse_covid19,97368,3252,0.25,3.34,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.031,3.1
202113,AG,30 - 39,208,altersklasse_covid19,97368,3460,0.21,3.55,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.022,2.1999999999999997
202114,AG,30 - 39,304,altersklasse_covid19,97368,3764,0.31,3.87,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.025,2.5
202115,AG,30 - 39,1210,altersklasse_covid19,97368,4974,1.24,5.11,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.064,6.4
202116,AG,30 - 39,1701,altersklasse_covid19,97368,6675,1.75,6.86,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.077,7.7
202117,AG,30 - 39,1887,altersklasse_covid19,97368,8562,1.94,8.79,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.122,12.2
202118,AG,30 - 39,2964,altersklasse_covid19,97368,11526,3.04,11.84,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.13,13
202119,AG,30 - 39,2522,altersklasse_covid19,97368,14048,2.59,14.43,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.138,13.8
202120,AG,30 - 39,2699,altersklasse_covid19,97368,16747,2.77,17.2,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.158,15.8
202121,AG,30 - 39,4048,altersklasse_covid19,97368,20795,4.16,21.36,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.17,17
202122,AG,30 - 39,4859,altersklasse_covid19,97368,25654,4.99,26.35,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.191,19.1
202123,AG,30 - 39,6389,altersklasse_covid19,97368,32043,6.56,32.91,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.208,20.8
202124,AG,30 - 39,6073,altersklasse_covid19,97368,38116,6.24,39.15,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.239,23.9
202125,AG,30 - 39,3072,altersklasse_covid19,97368,41188,3.16,42.3,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.231,23.1
202052,AG,40 - 49,0,altersklasse_covid19,94902,0,0,0,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,NA,NA
202053,AG,40 - 49,57,altersklasse_covid19,94902,57,0.06,0.06,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.249,24.9
202101,AG,40 - 49,111,altersklasse_covid19,94902,168,0.12,0.18,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.044,4.3999999999999995
202102,AG,40 - 49,203,altersklasse_covid19,94902,371,0.21,0.39,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.058,5.800000000000001
202103,AG,40 - 49,269,altersklasse_covid19,94902,640,0.28,0.67,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.045,4.5
202104,AG,40 - 49,330,altersklasse_covid19,94902,970,0.35,1.02,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.06,6
202105,AG,40 - 49,432,altersklasse_covid19,94902,1402,0.46,1.48,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.072,7.199999999999999
202106,AG,40 - 49,527,altersklasse_covid19,94902,1929,0.56,2.03,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.101,10.100000000000001
202107,AG,40 - 49,606,altersklasse_covid19,94902,2535,0.64,2.67,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.103,10.299999999999999
202108,AG,40 - 49,466,altersklasse_covid19,94902,3001,0.49,3.16,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.055,5.5
202109,AG,40 - 49,383,altersklasse_covid19,94902,3384,0.4,3.57,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.049,4.9
202110,AG,40 - 49,463,altersklasse_covid19,94902,3847,0.49,4.05,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.055,5.5
202111,AG,40 - 49,267,altersklasse_covid19,94902,4114,0.28,4.33,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.053,5.3
202112,AG,40 - 49,328,altersklasse_covid19,94902,4442,0.35,4.68,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.042,4.2
202113,AG,40 - 49,284,altersklasse_covid19,94902,4726,0.3,4.98,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.03,3
202114,AG,40 - 49,501,altersklasse_covid19,94902,5227,0.53,5.51,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.041,4.1000000000000005
202115,AG,40 - 49,1601,altersklasse_covid19,94902,6828,1.69,7.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.085,8.5
202116,AG,40 - 49,2423,altersklasse_covid19,94902,9251,2.55,9.75,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.11,11
202117,AG,40 - 49,2503,altersklasse_covid19,94902,11754,2.64,12.39,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.162,16.2
202118,AG,40 - 49,3673,altersklasse_covid19,94902,15427,3.87,16.26,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.161,16.1
202119,AG,40 - 49,3204,altersklasse_covid19,94902,18631,3.38,19.63,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.175,17.5
202120,AG,40 - 49,3476,altersklasse_covid19,94902,22107,3.66,23.29,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.204,20.4
202121,AG,40 - 49,5595,altersklasse_covid19,94902,27702,5.9,29.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.235,23.5
202122,AG,40 - 49,6163,altersklasse_covid19,94902,33865,6.49,35.68,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.242,24.2
202123,AG,40 - 49,7206,altersklasse_covid19,94902,41071,7.59,43.28,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.235,23.5
202124,AG,40 - 49,5729,altersklasse_covid19,94902,46800,6.04,49.31,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.226,22.6
202125,AG,40 - 49,2740,altersklasse_covid19,94902,49540,2.89,52.2,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.206,20.599999999999998
202052,AG,50 - 59,0,altersklasse_covid19,106964,0,0,0,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,NA,NA
202053,AG,50 - 59,62,altersklasse_covid19,106964,62,0.06,0.06,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.271,27.1
202101,AG,50 - 59,164,altersklasse_covid19,106964,226,0.15,0.21,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.065,6.5
202102,AG,50 - 59,297,altersklasse_covid19,106964,523,0.28,0.49,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.085,8.5
202103,AG,50 - 59,467,altersklasse_covid19,106964,990,0.44,0.93,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.079,7.9
202104,AG,50 - 59,579,altersklasse_covid19,106964,1569,0.54,1.47,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.105,10.5
202105,AG,50 - 59,753,altersklasse_covid19,106964,2322,0.7,2.17,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.125,12.5
202106,AG,50 - 59,828,altersklasse_covid19,106964,3150,0.77,2.94,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.158,15.8
202107,AG,50 - 59,852,altersklasse_covid19,106964,4002,0.8,3.74,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.145,14.499999999999998
202108,AG,50 - 59,803,altersklasse_covid19,106964,4805,0.75,4.49,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.095,9.5
202109,AG,50 - 59,746,altersklasse_covid19,106964,5551,0.7,5.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.096,9.6
202110,AG,50 - 59,930,altersklasse_covid19,106964,6481,0.87,6.06,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.109,10.9
202111,AG,50 - 59,425,altersklasse_covid19,106964,6906,0.4,6.46,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.084,8.4
202112,AG,50 - 59,673,altersklasse_covid19,106964,7579,0.63,7.09,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.087,8.7
202113,AG,50 - 59,554,altersklasse_covid19,106964,8133,0.52,7.6,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.059,5.8999999999999995
202114,AG,50 - 59,948,altersklasse_covid19,106964,9081,0.89,8.49,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.078,7.8
202115,AG,50 - 59,2513,altersklasse_covid19,106964,11594,2.35,10.84,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.133,13.3
202116,AG,50 - 59,4509,altersklasse_covid19,106964,16103,4.22,15.05,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.205,20.5
202117,AG,50 - 59,4145,altersklasse_covid19,106964,20248,3.88,18.93,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.269,26.900000000000002
202118,AG,50 - 59,5927,altersklasse_covid19,106964,26175,5.54,24.47,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.26,26
202119,AG,50 - 59,5049,altersklasse_covid19,106964,31224,4.72,29.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.275,27.500000000000004
202120,AG,50 - 59,4454,altersklasse_covid19,106964,35678,4.16,33.36,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.261,26.1
202121,AG,50 - 59,6439,altersklasse_covid19,106964,42117,6.02,39.37,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.27,27
202122,AG,50 - 59,6725,altersklasse_covid19,106964,48842,6.29,45.66,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.264,26.400000000000002
202123,AG,50 - 59,7884,altersklasse_covid19,106964,56726,7.37,53.03,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.257,25.7
202124,AG,50 - 59,5697,altersklasse_covid19,106964,62423,5.33,58.36,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.224,22.400000000000002
202125,AG,50 - 59,2599,altersklasse_covid19,106964,65022,2.43,60.79,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.196,19.6
202052,AG,60 - 69,0,altersklasse_covid19,79161,0,0,0,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,NA,NA
202053,AG,60 - 69,18,altersklasse_covid19,79161,18,0.02,0.02,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.079,7.9
202101,AG,60 - 69,209,altersklasse_covid19,79161,227,0.26,0.29,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.083,8.3
202102,AG,60 - 69,287,altersklasse_covid19,79161,514,0.36,0.65,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.083,8.3
202103,AG,60 - 69,528,altersklasse_covid19,79161,1042,0.67,1.32,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.089,8.9
202104,AG,60 - 69,693,altersklasse_covid19,79161,1735,0.88,2.19,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.126,12.6
202105,AG,60 - 69,849,altersklasse_covid19,79161,2584,1.07,3.26,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.141,14.099999999999998
202106,AG,60 - 69,719,altersklasse_covid19,79161,3303,0.91,4.17,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.137,13.700000000000001
202107,AG,60 - 69,819,altersklasse_covid19,79161,4122,1.03,5.21,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.139,13.900000000000002
202108,AG,60 - 69,1096,altersklasse_covid19,79161,5218,1.38,6.59,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.13,13
202109,AG,60 - 69,982,altersklasse_covid19,79161,6200,1.24,7.83,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.126,12.6
202110,AG,60 - 69,1402,altersklasse_covid19,79161,7602,1.77,9.6,COVID19AtLeastOneDosePersons,2021-06-29_09-35-11,detailed,0.165,16.5
