geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH,202049,27282,354240,1,100,8606033,317.01,4116.18,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-49,1087,12.63,4.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202050,30005,384245,1,100,8606033,348.65,4464.83,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-50,2723,31.64,10,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202051,29263,413508,1,100,8606033,340.03,4804.86,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-51,-742,-8.62,-2.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202052,23946,437454,1,100,8606033,278.25,5083.11,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-52,-5317,-61.78,-18.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202053,23381,460835,1,100,8606033,271.68,5354.79,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-53,-565,-6.57,-2.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202101,21995,482830,1,100,8606033,255.58,5610.37,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-01,-1386,-16.1,-5.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202102,15156,497986,1,100,8606033,176.11,5786.48,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-02,-6839,-79.47,-31.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202103,13471,511457,1,100,8606033,156.53,5943.01,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-03,-1685,-19.58,-11.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202104,11498,522955,1,100,8606033,133.6,6076.61,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-04,-1973,-22.93,-14.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202105,10051,533006,1,100,8606033,116.79,6193.4,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-05,-1447,-16.81,-12.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202106,7860,540866,1,100,8606033,91.33,6284.73,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-06,-2191,-25.46,-21.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202107,6978,547844,1,100,8606033,81.08,6365.81,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-07,-882,-10.25,-11.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202108,7215,555059,1,100,8606033,83.84,6449.65,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-08,237,2.76,3.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202109,7574,562633,1,100,8606033,88.01,6537.66,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-09,359,4.17,5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202110,8780,571413,1,100,8606033,102.02,6639.68,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-10,1206,14.01,15.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202111,10485,581898,1,100,8606033,121.83,6761.51,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-11,1705,19.81,19.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202112,12531,594429,1,100,8606033,145.61,6907.12,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-12,2046,23.78,19.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202113,12283,606712,1,100,8606033,142.73,7049.85,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-13,-248,-2.88,-2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202114,14129,620841,1,100,8606033,164.18,7214.02,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-14,1846,21.45,15,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202115,14074,634915,1,100,8606033,163.54,7377.56,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-15,-55,-0.64,-0.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202116,14516,649431,1,100,8606033,168.67,7546.23,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-16,442,5.13,3.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202117,11864,661295,1,100,8606033,137.86,7684.09,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-17,-2652,-30.81,-18.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202118,10298,671593,1,100,8606033,119.66,7803.75,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-18,-1566,-18.2,-13.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202119,7837,679430,1,100,8606033,91.06,7894.81,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-19,-2461,-28.6,-23.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202120,7339,686769,1,100,8606033,85.28,7980.09,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-20,-498,-5.78,-6.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202121,5104,691873,1,100,8606033,59.31,8039.4,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-21,-2235,-25.97,-30.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202122,3513,695386,1,100,8606033,40.82,8080.22,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-22,-1591,-18.49,-31.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CH,202123,2311,697697,1,100,8606033,26.85,8107.07,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-23,-1202,-13.97,-34.2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CH,202124,1235,698932,1,100,8606033,14.35,8121.42,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-24,-1076,-12.5,-46.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CH,202125,737,699669,1,100,8606033,8.56,8129.98,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-25,-498,-5.79,-40.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CH,202126,1023,700692,1,100,8606033,11.89,8141.87,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-26,286,3.33,38.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CHFL,202009,56,56,1,100,8644780,0.65,0.65,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202010,377,433,1,100,8644780,4.36,5.01,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-10,321,3.71,573.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202011,2279,2712,1,100,8644780,26.36,31.37,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-11,1902,22,504.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202012,6593,9305,1,100,8644780,76.27,107.64,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-12,4314,49.91,189.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202013,7362,16667,1,100,8644780,85.16,192.8,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-13,769,8.89,11.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202014,6038,22705,1,100,8644780,69.85,262.64,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-14,-1324,-15.31,-18,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202015,3602,26307,1,100,8644780,41.67,304.31,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-15,-2436,-28.18,-40.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202016,1841,28148,1,100,8644780,21.3,325.61,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-16,-1761,-20.37,-48.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202017,1168,29316,1,100,8644780,13.51,339.12,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-17,-673,-7.79,-36.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202018,700,30016,1,100,8644780,8.1,347.22,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-18,-468,-5.41,-40.1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202019,401,30417,1,100,8644780,4.64,351.85,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-19,-299,-3.46,-42.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202020,231,30648,1,100,8644780,2.67,354.53,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-20,-170,-1.97,-42.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202021,154,30802,1,100,8644780,1.78,356.31,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-21,-77,-0.89,-33.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202022,126,30928,1,100,8644780,1.46,357.77,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-22,-28,-0.32,-18.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202023,99,31027,1,100,8644780,1.15,358.91,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-23,-27,-0.31,-21.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHFL,202024,140,31167,1,100,8644780,1.62,360.53,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-24,41,0.47,41.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202025,171,31338,1,100,8644780,1.98,362.51,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-25,31,0.36,22.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202026,357,31695,1,100,8644780,4.13,366.64,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-26,186,2.15,108.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202027,686,32381,1,100,8644780,7.94,374.57,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-27,329,3.81,92.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202028,635,33016,1,100,8644780,7.35,381.92,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-28,-51,-0.59,-7.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202029,717,33733,1,100,8644780,8.29,390.21,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-29,82,0.94,12.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202030,826,34559,1,100,8644780,9.55,399.77,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-30,109,1.26,15.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202031,1157,35716,1,100,8644780,13.38,413.15,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-31,331,3.83,40.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202032,1100,36816,1,100,8644780,12.72,425.88,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-32,-57,-0.66,-4.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202033,1582,38398,1,100,8644780,18.3,444.18,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-33,482,5.58,43.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202034,1859,40257,1,100,8644780,21.5,465.68,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-34,277,3.2,17.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202035,2099,42356,1,100,8644780,24.28,489.96,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-35,240,2.78,12.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202036,2456,44812,1,100,8644780,28.41,518.37,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-36,357,4.13,17,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202037,2863,47675,1,100,8644780,33.12,551.49,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-37,407,4.71,16.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202038,2909,50584,1,100,8644780,33.65,585.14,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-38,46,0.53,1.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202039,2224,52808,1,100,8644780,25.73,610.87,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-39,-685,-7.92,-23.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHFL,202040,3472,56280,1,100,8644780,40.16,651.03,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-40,1248,14.43,56.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202041,8772,65052,1,100,8644780,101.47,752.5,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-41,5300,61.31,152.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202042,19559,84611,1,100,8644780,226.25,978.75,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-42,10787,124.78,123,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202043,39875,124486,1,100,8644780,461.26,1440.01,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-43,20316,235.01,103.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202044,56014,180500,1,100,8644780,647.95,2087.97,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-44,16139,186.69,40.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202045,51405,231905,1,100,8644780,594.64,2682.6,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-45,-4609,-53.31,-8.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202046,39766,271671,1,100,8644780,460,3142.6,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-46,-11639,-134.64,-22.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202047,30274,301945,1,100,8644780,350.2,3492.8,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-47,-9492,-109.8,-23.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202048,26325,328270,1,100,8644780,304.52,3797.32,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-48,-3949,-45.68,-13,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202049,27405,355675,1,100,8644780,317.01,4114.33,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-49,1080,12.49,4.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202050,30176,385851,1,100,8644780,349.07,4463.4,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-50,2771,32.06,10.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202051,29506,415357,1,100,8644780,341.32,4804.71,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-51,-670,-7.75,-2.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202052,24212,439569,1,100,8644780,280.08,5084.79,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-52,-5294,-61.24,-17.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202053,23567,463136,1,100,8644780,272.62,5357.41,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-53,-645,-7.46,-2.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202101,22106,485242,1,100,8644780,255.72,5613.12,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-01,-1461,-16.9,-6.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202102,15202,500444,1,100,8644780,175.85,5788.97,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-02,-6904,-79.87,-31.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202103,13535,513979,1,100,8644780,156.57,5945.54,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-03,-1667,-19.28,-11,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202104,11543,525522,1,100,8644780,133.53,6079.07,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-04,-1992,-23.04,-14.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202105,10082,535604,1,100,8644780,116.63,6195.69,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-05,-1461,-16.9,-12.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202106,7876,543480,1,100,8644780,91.11,6286.8,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-06,-2206,-25.52,-21.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHFL,202107,6988,550468,1,100,8644780,80.83,6367.63,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-07,-888,-10.28,-11.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202108,7243,557711,1,100,8644780,83.78,6451.42,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-08,255,2.95,3.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202109,7592,565303,1,100,8644780,87.82,6539.24,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-09,349,4.04,4.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202110,8801,574104,1,100,8644780,101.81,6641.05,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-10,1209,13.99,15.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202111,10505,584609,1,100,8644780,121.52,6762.57,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-11,1704,19.71,19.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202112,12563,597172,1,100,8644780,145.32,6907.89,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-12,2058,23.8,19.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202113,12319,609491,1,100,8644780,142.5,7050.39,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-13,-244,-2.82,-1.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CHFL,202114,14192,623683,1,100,8644780,164.17,7214.56,COVID19Cases,,2021-07-09_07-48-17,isoweek,2021-14,1873,21.67,15.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
