date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202122,AG,male,26329,sex,344733,202194,7.64,58.65,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.52,52
202123,AG,male,25656,sex,344733,227850,7.44,66.09,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.52,52
202124,AG,male,22118,sex,344733,249968,6.42,72.51,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.53,53
202052,AG,female,0,sex,341112,0,0,0,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AG,female,149,sex,341112,149,0.04,0.04,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.656,65.60000000000001
202101,AG,female,1322,sex,341112,1471,0.39,0.43,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.526,52.6
202102,AG,female,1938,sex,341112,3409,0.57,1,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.557,55.7
202103,AG,female,3341,sex,341112,6750,0.98,1.98,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.544,54.400000000000006
202104,AG,female,3679,sex,341112,10429,1.08,3.06,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.583,58.3
202105,AG,female,5117,sex,341112,15546,1.5,4.56,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.592,59.199999999999996
202106,AG,female,4409,sex,341112,19955,1.29,5.85,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.574,57.4
202107,AG,female,6060,sex,341112,26015,1.78,7.63,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.547,54.7
202108,AG,female,8313,sex,341112,34328,2.44,10.06,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.559,55.900000000000006
202109,AG,female,7719,sex,341112,42047,2.26,12.33,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.563,56.3
202110,AG,female,7518,sex,341112,49565,2.2,14.53,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.554,55.400000000000006
202111,AG,female,5753,sex,341112,55318,1.69,16.22,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.545,54.50000000000001
202112,AG,female,8641,sex,341112,63959,2.53,18.75,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.527,52.7
202113,AG,female,8191,sex,341112,72150,2.4,21.15,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.523,52.300000000000004
202114,AG,female,11052,sex,341112,83202,3.24,24.39,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.532,53.2
202115,AG,female,14222,sex,341112,97424,4.17,28.56,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.565,56.49999999999999
202116,AG,female,15301,sex,341112,112725,4.49,33.05,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.512,51.2
202117,AG,female,12967,sex,341112,125692,3.8,36.85,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.522,52.2
202118,AG,female,17543,sex,341112,143235,5.14,41.99,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.511,51.1
202119,AG,female,17888,sex,341112,161123,5.24,47.23,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.55,55.00000000000001
202120,AG,female,19896,sex,341112,181019,5.83,53.07,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.52,52
202121,AG,female,19990,sex,341112,201009,5.86,58.93,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.495,49.5
202122,AG,female,24313,sex,341112,225322,7.13,66.06,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.48,48
202123,AG,female,23714,sex,341112,249036,6.95,73.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.48,48
202124,AG,female,19615,sex,341112,268651,5.75,78.76,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.47,47
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202102,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202110,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202111,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202112,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202113,AG,unknown,0,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202114,AG,unknown,1,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202115,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202116,AG,unknown,1,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202117,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202118,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202119,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202120,AG,unknown,1,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202121,AG,unknown,3,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202122,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202123,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202124,AG,unknown,1,sex,NA,8,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202052,AI,male,10,sex,8303,10,0.12,0.12,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.222,22.2
202053,AI,male,0,sex,8303,10,0,0.12,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202101,AI,male,180,sex,8303,190,2.17,2.29,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.511,51.1
202102,AI,male,94,sex,8303,284,1.13,3.42,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.485,48.5
202103,AI,male,177,sex,8303,461,2.13,5.55,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.494,49.4
202104,AI,male,68,sex,8303,529,0.82,6.37,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.391,39.1
202105,AI,male,163,sex,8303,692,1.96,8.33,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.509,50.9
202106,AI,male,140,sex,8303,832,1.69,10.02,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.475,47.5
202107,AI,male,196,sex,8303,1028,2.36,12.38,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.489,48.9
202108,AI,male,52,sex,8303,1080,0.63,13.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.481,48.1
202109,AI,male,35,sex,8303,1115,0.42,13.43,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.467,46.7
202110,AI,male,48,sex,8303,1163,0.58,14.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.457,45.7
202111,AI,male,8,sex,8303,1171,0.1,14.1,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.364,36.4
202112,AI,male,135,sex,8303,1306,1.63,15.73,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.402,40.2
202113,AI,male,317,sex,8303,1623,3.82,19.55,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.481,48.1
202114,AI,male,150,sex,8303,1773,1.81,21.35,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.484,48.4
202115,AI,male,52,sex,8303,1825,0.63,21.98,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.5,50
202116,AI,male,309,sex,8303,2134,3.72,25.7,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.479,47.9
202117,AI,male,534,sex,8303,2668,6.43,32.13,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.486,48.6
202118,AI,male,343,sex,8303,3011,4.13,36.26,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.492,49.2
202119,AI,male,260,sex,8303,3271,3.13,39.4,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.525,52.5
202120,AI,male,405,sex,8303,3676,4.88,44.27,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.517,51.7
202121,AI,male,612,sex,8303,4288,7.37,51.64,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.527,52.7
202122,AI,male,609,sex,8303,4897,7.33,58.98,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.53,53
202123,AI,male,371,sex,8303,5268,4.47,63.45,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.539,53.900000000000006
202124,AI,male,241,sex,8303,5509,2.9,66.35,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.515,51.5
202052,AI,female,35,sex,7825,35,0.45,0.45,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.778,77.8
202053,AI,female,0,sex,7825,35,0,0.45,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202101,AI,female,172,sex,7825,207,2.2,2.65,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.489,48.9
202102,AI,female,100,sex,7825,307,1.28,3.92,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.515,51.5
202103,AI,female,181,sex,7825,488,2.31,6.24,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.506,50.6
202104,AI,female,106,sex,7825,594,1.35,7.59,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.609,60.9
202105,AI,female,157,sex,7825,751,2.01,9.6,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.491,49.1
202106,AI,female,155,sex,7825,906,1.98,11.58,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.525,52.5
202107,AI,female,205,sex,7825,1111,2.62,14.2,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.511,51.1
202108,AI,female,56,sex,7825,1167,0.72,14.91,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.519,51.9
202109,AI,female,40,sex,7825,1207,0.51,15.42,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.533,53.300000000000004
202110,AI,female,57,sex,7825,1264,0.73,16.15,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.543,54.300000000000004
202111,AI,female,14,sex,7825,1278,0.18,16.33,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.636,63.6
202112,AI,female,201,sex,7825,1479,2.57,18.9,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.598,59.8
202113,AI,female,342,sex,7825,1821,4.37,23.27,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.519,51.9
202114,AI,female,160,sex,7825,1981,2.04,25.32,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.516,51.6
202115,AI,female,52,sex,7825,2033,0.66,25.98,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.5,50
202116,AI,female,336,sex,7825,2369,4.29,30.27,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.521,52.1
202117,AI,female,564,sex,7825,2933,7.21,37.48,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.514,51.4
202118,AI,female,354,sex,7825,3287,4.52,42.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.508,50.8
202119,AI,female,235,sex,7825,3522,3,45.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.475,47.5
202120,AI,female,379,sex,7825,3901,4.84,49.85,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.483,48.3
202121,AI,female,550,sex,7825,4451,7.03,56.88,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.473,47.3
202122,AI,female,539,sex,7825,4990,6.89,63.77,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.47,47
202123,AI,female,317,sex,7825,5307,4.05,67.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.461,46.1
202124,AI,female,227,sex,7825,5534,2.9,70.72,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.485,48.5
202052,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202053,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202101,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202102,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202103,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202104,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202105,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202106,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202107,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202108,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202109,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202110,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202111,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202112,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202113,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202114,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202115,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202116,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202117,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202118,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202119,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202120,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202121,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202122,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202123,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202124,AI,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202052,AR,male,0,sex,27938,0,0,0,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AR,male,2,sex,27938,2,0.01,0.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,1,100
202101,AR,male,227,sex,27938,229,0.81,0.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.324,32.4
202102,AR,male,0,sex,27938,229,0,0.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202103,AR,male,667,sex,27938,896,2.39,3.21,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.486,48.6
202104,AR,male,730,sex,27938,1626,2.61,5.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.438,43.8
202105,AR,male,0,sex,27938,1626,0,5.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202106,AR,male,71,sex,27938,1697,0.25,6.07,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.287,28.7
202107,AR,male,682,sex,27938,2379,2.44,8.52,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.515,51.5
202108,AR,male,432,sex,27938,2811,1.55,10.06,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.54,54
202109,AR,male,301,sex,27938,3112,1.08,11.14,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.496,49.6
202110,AR,male,197,sex,27938,3309,0.71,11.84,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.501,50.1
202111,AR,male,621,sex,27938,3930,2.22,14.07,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.518,51.800000000000004
202112,AR,male,698,sex,27938,4628,2.5,16.57,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.482,48.199999999999996
202113,AR,male,584,sex,27938,5212,2.09,18.66,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.464,46.400000000000006
202114,AR,male,834,sex,27938,6046,2.99,21.64,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.487,48.699999999999996
202115,AR,male,913,sex,27938,6959,3.27,24.91,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.49,49
202116,AR,male,809,sex,27938,7768,2.9,27.8,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.489,48.9
202117,AR,male,997,sex,27938,8765,3.57,31.37,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.473,47.3
202118,AR,male,1127,sex,27938,9892,4.03,35.41,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.441,44.1
202119,AR,male,1401,sex,27938,11293,5.01,40.42,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.464,46.400000000000006
202120,AR,male,1747,sex,27938,13040,6.25,46.67,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.528,52.800000000000004
202121,AR,male,1438,sex,27938,14478,5.15,51.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.512,51.2
202122,AR,male,1546,sex,27938,16024,5.53,57.36,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.478,47.8
202123,AR,male,1620,sex,27938,17644,5.8,63.15,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.496,49.6
202124,AR,male,1763,sex,27938,19407,6.31,69.46,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.534,53.400000000000006
202052,AR,female,0,sex,27507,0,0,0,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AR,female,0,sex,27507,0,0,0,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
202101,AR,female,472,sex,27507,472,1.72,1.72,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.674,67.4
202102,AR,female,0,sex,27507,472,0,1.72,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202103,AR,female,706,sex,27507,1178,2.57,4.28,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.514,51.4
202104,AR,female,936,sex,27507,2114,3.4,7.69,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.562,56.2
202105,AR,female,0,sex,27507,2114,0,7.69,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202106,AR,female,176,sex,27507,2290,0.64,8.33,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.713,71.3
202107,AR,female,641,sex,27507,2931,2.33,10.66,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.485,48.5
202108,AR,female,368,sex,27507,3299,1.34,11.99,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.46,46
202109,AR,female,306,sex,27507,3605,1.11,13.11,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.504,50.4
202110,AR,female,196,sex,27507,3801,0.71,13.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.499,49.9
202111,AR,female,578,sex,27507,4379,2.1,15.92,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.482,48.199999999999996
202112,AR,female,750,sex,27507,5129,2.73,18.65,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.518,51.800000000000004
202113,AR,female,675,sex,27507,5804,2.45,21.1,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.536,53.6
202114,AR,female,879,sex,27507,6683,3.2,24.3,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.513,51.300000000000004
202115,AR,female,949,sex,27507,7632,3.45,27.75,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.51,51
202116,AR,female,847,sex,27507,8479,3.08,30.82,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.511,51.1
202117,AR,female,1111,sex,27507,9590,4.04,34.86,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.527,52.7
202118,AR,female,1431,sex,27507,11021,5.2,40.07,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.559,55.900000000000006
202119,AR,female,1621,sex,27507,12642,5.89,45.96,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.536,53.6
202120,AR,female,1564,sex,27507,14206,5.69,51.65,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.472,47.199999999999996
202121,AR,female,1369,sex,27507,15575,4.98,56.62,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.488,48.8
202122,AR,female,1687,sex,27507,17262,6.13,62.75,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.522,52.2
202123,AR,female,1648,sex,27507,18910,5.99,68.75,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.504,50.4
202124,AR,female,1538,sex,27507,20448,5.59,74.34,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.466,46.6
202052,AR,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AR,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0,0
